ind,resource,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,C3_Annual_Forb,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343
1,C3_Perennial_Forb,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915
1,C3_Perennial_Shrub,0,0,0,0,0,0,0,0,0,0
1,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
1,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
1,C4_Perennial_Grass,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511
2,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
2,C3_Perennial_Forb,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743
2,C3_Perennial_Shrub,0,0,0,0,0,0,0,0,0,0
2,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
2,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
2,C4_Perennial_Grass,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257
3,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
3,C3_Perennial_Forb,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722
3,C3_Perennial_Shrub,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
3,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
3,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
3,C4_Perennial_Grass,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132
4,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
4,C3_Perennial_Forb,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4,C3_Perennial_Shrub,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
4,C4_Annual_Forb,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
4,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
4,C4_Perennial_Grass,0,0,0,0,0,0,0,0,0,0
5,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
5,C3_Perennial_Forb,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353
5,C3_Perennial_Shrub,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937
5,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
5,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
5,C4_Perennial_Grass,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274
6,C3_Annual_Forb,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482
6,C3_Perennial_Forb,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518
6,C3_Perennial_Shrub,0,0,0,0,0,0,0,0,0,0
6,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
6,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
6,C4_Perennial_Grass,0,0,0,0,0,0,0,0,0,0
7,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
7,C3_Perennial_Forb,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172
7,C3_Perennial_Shrub,0,0,0,0,0,0,0,0,0,0
7,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
7,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
7,C4_Perennial_Grass,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828
8,C3_Annual_Forb,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149
8,C3_Perennial_Forb,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896
8,C3_Perennial_Shrub,0,0,0,0,0,0,0,0,0,0
8,C4_Annual_Forb,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511,0.0511
8,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
8,C4_Perennial_Grass,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383
9,C3_Annual_Forb,0,0,0,0,0,0,0,0,0,0
9,C3_Perennial_Forb,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
9,C3_Perennial_Shrub,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
9,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
9,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
9,C4_Perennial_Grass,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348
10,C3_Annual_Forb,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342
10,C3_Perennial_Forb,0,0,0,0,0,0,0,0,0,0
10,C3_Perennial_Shrub,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813
10,C4_Annual_Forb,0,0,0,0,0,0,0,0,0,0
10,C4_Annual_Grass,0,0,0,0,0,0,0,0,0,0
10,C4_Perennial_Grass,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884
